,name,id,gender,modularity,degree,bridge,start,end,congregation,duration
1340,John B. Boles,1340,male,11,6,false,1992.0,2001.0,shear,9.0
2977,William Wagner,2977,male,11,15,false,2013.0,2022.0,shear,9.0
80,Allison Lange,80,female,35,15,false,2012.0,2021.0,shear,9.0
268,Bradford Perkins,268,male,11,8,false,1993.0,2002.0,shear,9.0
2022,Matthew S. Warshauer,2022,male,23,4,false,2002.0,2011.0,shear,9.0
1845,Louise Stevenson,1845,female,27,7,false,1997.0,2006.0,shear,9.0
567,Daniel C. Littlefield,567,male,26,13,false,2012.0,2021.0,shear,9.0
138,Andrew Wegmann,138,male,16,17,false,2013.0,2022.0,shear,9.0
1854,Luke Ritter,1854,male,14,7,false,2013.0,2022.0,shear,9.0
1577,Karin Huebner,1577,female,15,9,false,2013.0,2022.0,shear,9.0
512,Colin Mccoy,512,male,11,6,false,1996.0,2005.0,shear,9.0
1643,Kelly Kennington,1643,female,32,11,false,2013.0,2022.0,shear,9.0
1982,Mary Fuhrer,1982,female,5,20,false,2013.0,2022.0,shear,9.0
397,Catherine Cangany,397,female,31,9,false,2013.0,2022.0,shear,9.0
309,Britt M. Rusert,309,female,20,7,false,2012.0,2020.0,shear,8.0
1417,John Randolph,1417,male,21,11,false,2011.0,2019.0,shear,8.0
937,Gary Browne,937,male,27,13,false,1981.0,1989.0,shear,8.0
555,Dana E. Weiner,555,female,35,9,false,2010.0,2018.0,shear,8.0
2622,Sari Altschuler,2622,female,0,12,female_bridge,2014.0,2022.0,shear,8.0
2684,Sophia Rosenfeld,2684,female,21,8,false,2014.0,2022.0,shear,8.0
966,Glen Olson,966,male,48,8,false,2014.0,2022.0,shear,8.0
1178,Jamie Bronstein,1178,female,11,14,false,1998.0,2006.0,shear,8.0
2030,Maureen Connors Santelli,2030,female,11,11,false,2014.0,2022.0,shear,8.0
2707,Stephen Andrews,2707,male,11,6,false,2000.0,2008.0,shear,8.0
1615,Kathryn Holland Braund,1615,female,26,7,false,1986.0,1994.0,shear,8.0
2368,Rachel St. John,2368,female,48,14,false,2014.0,2022.0,shear,8.0
2614,Sarah Pearsall,2614,female,21,11,false,2014.0,2022.0,shear,8.0
1000,Gretchen A. Adams,1000,female,6,8,false,2008.0,2016.0,shear,8.0
1202,Jasmine Nichole Cobb,1202,female,19,6,false,2005.0,2013.0,shear,8.0
1705,Kristopher Maulden,1705,male,11,6,false,2009.0,2017.0,shear,8.0
1598,Katherine Jorgensen Gray,1598,female,48,7,false,2009.0,2017.0,shear,8.0
2200,Neely Bruce,2200,unknown,27,24,false,1991.0,1999.0,shear,8.0
2611,Sarah N. Roth,2611,female,35,6,false,2005.0,2013.0,shear,8.0
2191,Nathan Rives,2191,male,14,8,false,2010.0,2018.0,shear,8.0
2019,Matthew Osborn,2019,male,2,9,false,2014.0,2022.0,shear,8.0
1974,Mary C. Miles,1974,female,15,8,false,1997.0,2005.0,shear,8.0
2404,Richard A. Ryerson,2404,male,24,12,false,1991.0,1999.0,shear,8.0
2823,Thomas Balcerski,2823,male,11,11,false,2014.0,2022.0,shear,8.0
883,Eugene D. Genovese,883,male,6,6,false,1993.0,2001.0,shear,8.0
2223,Nicole Belolan,2223,female,36,7,false,2014.0,2022.0,shear,8.0
1961,Martin J. Burke,1961,male,24,6,false,2000.0,2008.0,shear,8.0
1432,John W. Hall,1432,male,15,14,false,2014.0,2022.0,shear,8.0
2634,Scott Heerman,2634,male,11,12,false,2014.0,2022.0,shear,8.0
862,Erica Armstrong Dunbar,862,female,11,17,false,2014.0,2022.0,shear,8.0
1640,Kelly A. Ryan,1640,female,16,12,false,2013.0,2021.0,shear,8.0
2392,Rebecca Noel,2392,female,5,23,false,2014.0,2022.0,shear,8.0
2783,Sylvia Frey,2783,female,19,6,false,1990.0,1998.0,shear,8.0
2446,Ritchie Garrison,2446,male,36,8,false,2012.0,2020.0,shear,8.0
565,Daniel Belczak,565,male,24,9,false,2014.0,2022.0,shear,8.0
1996,Mary Schweitzer,1996,female,61,9,female_bridge,1992.0,2000.0,shear,8.0
2669,Shawn Kimmel,2669,male,11,8,false,2005.0,2013.0,shear,8.0
933,Gail Murray,933,female,27,7,false,1992.0,2000.0,shear,8.0
1019,Harry Laver,1019,male,11,8,false,1996.0,2004.0,shear,8.0
2813,Theodore J. Crackel,2813,male,11,7,false,2001.0,2009.0,shear,8.0
1978,Mary E. Young,1978,female,59,8,female_bridge,1981.0,1989.0,shear,8.0
848,Emma Jones Lapsansky,848,female,35,6,false,2005.0,2013.0,shear,8.0
1214,Jay Cook,1214,male,11,10,false,2012.0,2020.0,shear,8.0
1586,Kate Masur,1586,female,20,27,female_bridge,2014.0,2022.0,shear,8.0
312,Brooke Bauer,312,female,15,11,false,2014.0,2022.0,shear,8.0
1190,Jane Landers,1190,female,31,10,false,1996.0,2004.0,shear,8.0
403,Catherine Kerrison,403,female,0,7,false,2001.0,2009.0,shear,8.0
187,Anthony M. Joseph,187,male,23,8,false,1997.0,2005.0,shear,8.0
283,Brett Palfreyman,283,male,11,7,false,2014.0,2022.0,shear,8.0
960,Georgia B. Barnhill,960,female,16,10,false,2007.0,2015.0,shear,8.0
471,Christopher Bonner,471,male,15,20,false,2014.0,2022.0,shear,8.0
2319,Peter Genovese,2319,male,6,5,false,2000.0,2008.0,shear,8.0
1832,Loretta Valtz Mannucci,1832,female,32,9,false,2005.0,2013.0,shear,8.0
417,Chandra Manning,417,male,19,7,false,2009.0,2017.0,shear,8.0
1835,Lori Daggar,1835,female,15,18,false,2014.0,2022.0,shear,8.0
1288,Jessica C. Linker,1288,female,16,7,false,2012.0,2020.0,shear,8.0
2282,Paul B. Moyer,2282,male,16,7,false,2011.0,2019.0,shear,8.0
228,Barbara Reeves-Ellington,228,female,27,7,false,2001.0,2009.0,shear,8.0
142,Angela F. Murphy,142,female,23,10,female_bridge,2014.0,2022.0,shear,8.0
2095,Michael Grossberg,2095,male,2,6,false,1993.0,2001.0,shear,8.0
1091,Jack Chatfield,1091,male,11,7,false,1989.0,1997.0,shear,8.0
1364,John E. Murray,1364,male,48,10,false,2010.0,2018.0,shear,8.0
1743,Laurel Daen,1743,female,36,7,false,2014.0,2022.0,shear,8.0
2487,Robert M. Sutton,2487,male,23,8,false,1983.0,1991.0,shear,8.0
2270,Patrick Allan Pospisek,2270,male,24,8,false,2012.0,2020.0,shear,8.0
1363,John E. Ferling,1363,male,21,9,false,1991.0,1999.0,shear,8.0
656,David Quigley,656,male,16,11,false,1999.0,2007.0,shear,8.0
2576,Samantha Seeley,2576,female,11,24,false,2014.0,2022.0,shear,8.0
458,Christina Snyder,458,female,15,28,false,2014.0,2022.0,shear,8.0
1851,Lucy Simler,1851,female,27,7,false,1987.0,1995.0,shear,8.0
1770,Len Travers,1770,male,27,10,false,1998.0,2006.0,shear,8.0
353,Cameron Shriver,353,male,14,14,false,2014.0,2022.0,shear,8.0
744,Douglas Harvey,744,male,45,7,false,2005.0,2013.0,shear,8.0
1872,Malinda Maynor Lowery,1872,female,15,7,false,2012.0,2020.0,shear,8.0
354,Cameron Strang,354,male,20,7,false,2012.0,2020.0,shear,8.0
1914,Marise Bachand,1914,female,33,7,false,2014.0,2022.0,shear,8.0
116,Andrew B. Fagal,116,male,16,12,false,2014.0,2022.0,shear,8.0
409,Cathleene B. Hellier,409,female,16,10,false,2014.0,2022.0,shear,8.0
1482,Joseph Eaton,1482,male,55,5,false,2008.0,2016.0,shear,8.0
317,Bruce A. Glasrud,317,male,17,6,false,1990.0,1998.0,shear,8.0
1824,Lisbeth Haas,1824,female,16,9,false,1999.0,2007.0,shear,8.0
1909,Marion A. Brown,1909,female,19,7,false,1991.0,1999.0,shear,8.0
624,David E. Narrett,624,male,11,8,false,2007.0,2015.0,shear,8.0
2512,Robyn Davis Mcmillin,2512,female,21,8,false,2010.0,2018.0,shear,8.0
2972,William S. Hoffmann,2972,male,21,8,false,1990.0,1998.0,shear,8.0
1481,Joseph E. Ellis,1481,male,21,10,false,1994.0,2002.0,shear,8.0
1492,Joseph M. Rizzo,1492,male,11,7,false,2013.0,2021.0,shear,8.0
1720,Lacy K. Ford,1720,female,11,6,false,1993.0,2001.0,shear,8.0
2357,R. William Weisberger,2357,male,16,8,false,1997.0,2005.0,shear,8.0
1807,Lindsay Schakenbach Regele,1807,female,11,17,false,2014.0,2022.0,shear,8.0
801,Elizabeth Covart,801,female,21,8,false,2004.0,2012.0,shear,8.0
788,Elisabeth H. Null,788,female,27,27,false,1991.0,1999.0,shear,8.0
1465,Jonathan Nash,1465,male,5,6,false,2009.0,2016.0,shear,7.0
2412,Richard Bell,2412,male,20,11,false,2015.0,2022.0,shear,7.0
2323,Peter J. Kastor,2323,male,31,7,false,1997.0,2004.0,shear,7.0
58,Alexandra Finley,58,female,33,7,false,2015.0,2022.0,shear,7.0
88,Amanda Milian,88,female,36,8,false,2015.0,2022.0,shear,7.0
1648,Ken Mueller,1648,male,26,8,false,2009.0,2016.0,shear,7.0
727,Donald Scott,727,male,16,6,false,1985.0,1992.0,shear,7.0
1860,Lyra Monteiro,1860,female,21,9,false,2013.0,2020.0,shear,7.0
1330,Johanna Miller Lewis,1330,female,24,10,female_bridge,1993.0,2000.0,shear,7.0
1594,Katherine Grandjean,1594,female,30,7,false,2015.0,2022.0,shear,7.0
2106,Michael Landis,2106,male,11,7,false,2012.0,2019.0,shear,7.0
196,Ari Kelman,196,male,15,10,false,2015.0,2022.0,shear,7.0
2407,Richard Alan Ryerson,2407,male,0,13,false,1995.0,2002.0,shear,7.0
1639,Kellie Carter Jackson,1639,female,20,18,false,2015.0,2022.0,shear,7.0
423,Charles Cutter,423,male,31,7,false,1997.0,2004.0,shear,7.0
93,Amber Moulton,93,female,35,6,false,2010.0,2017.0,shear,7.0
86,Amanda Bowie Moniz,86,female,11,6,false,2008.0,2015.0,shear,7.0
2962,William H. Pease,2962,male,27,10,false,1988.0,1995.0,shear,7.0
688,Deirdre Cooper Owens,688,female,2,11,female_bridge,2015.0,2022.0,shear,7.0
2124,Michael Verney,2124,male,15,13,false,2015.0,2022.0,shear,7.0
90,Amanda Porterfield,90,female,59,6,false,2013.0,2020.0,shear,7.0
503,Clare A. Lyons,503,female,36,9,false,2006.0,2013.0,shear,7.0
1475,Jordan T. Watkins,1475,male,0,8,false,2015.0,2022.0,shear,7.0
1825,Liz Covart,1825,female,11,14,female_bridge,2015.0,2022.0,shear,7.0
1992,Mary Quinlivan,1992,female,27,7,false,1986.0,1993.0,shear,7.0
2749,Susan Brandt,2749,female,16,8,false,2012.0,2019.0,shear,7.0
1842,Louis Potts,1842,male,30,8,male_bridge,1988.0,1995.0,shear,7.0
393,Cassandra N. Berman,393,female,15,8,false,2014.0,2021.0,shear,7.0
562,Dane Morrison,562,male,15,10,false,2015.0,2022.0,shear,7.0
987,Gregory D. Smithers,987,male,26,11,false,2015.0,2022.0,shear,7.0
440,Chernoh Sesay,440,male,15,18,false,2015.0,2022.0,shear,7.0
946,Gene Allen Smith,946,male,15,10,false,2013.0,2020.0,shear,7.0
2413,Richard Boles,2413,male,55,8,false,2014.0,2021.0,shear,7.0
2963,William Huntting Howell,2963,male,16,6,false,2007.0,2014.0,shear,7.0
408,Catherine W. Bishir,408,female,6,8,false,2015.0,2022.0,shear,7.0
148,Anita Ashendel,148,female,16,11,false,1995.0,2002.0,shear,7.0
197,Ariel Ron,197,male,11,12,male_bridge,2013.0,2020.0,shear,7.0
2892,Vanessa Holden,2892,female,14,27,false,2015.0,2022.0,shear,7.0
212,Aston Gonzalez,212,male,14,11,false,2015.0,2022.0,shear,7.0
201,Arthur Schrader,201,male,27,18,false,1992.0,1999.0,shear,7.0
1557,Kabria Baumgartner,1557,female,20,21,false,2015.0,2022.0,shear,7.0
1255,Jen Manion,1255,female,45,12,false,2015.0,2022.0,shear,7.0
2272,Patrick Callaway,2272,male,21,9,false,2014.0,2021.0,shear,7.0
43,Alan Wallach,43,male,16,7,male_bridge,1998.0,2005.0,shear,7.0
775,Edward Pompeian,775,male,16,5,false,2012.0,2019.0,shear,7.0
2091,Michael F. Holt,2091,male,11,6,false,1995.0,2002.0,shear,7.0
2349,Phyllis Bruce,2349,female,27,16,false,1992.0,1999.0,shear,7.0
834,Emily A. Owens,834,female,24,8,false,2015.0,2022.0,shear,7.0
1903,Marie Stango,1903,female,20,12,false,2014.0,2021.0,shear,7.0
1283,Jeremy Zallen,1283,male,15,11,false,2015.0,2022.0,shear,7.0
1384,John Henris,1384,male,6,7,false,2013.0,2020.0,shear,7.0
2827,Thomas Coens,2827,male,11,11,false,2014.0,2021.0,shear,7.0
548,Dale T. Knobel,548,male,27,9,false,1988.0,1995.0,shear,7.0
2375,Ralph Gray,2375,male,23,8,false,1986.0,1993.0,shear,7.0
786,Eliga Gould,786,male,11,19,male_bridge,2015.0,2022.0,shear,7.0
1547,Justene G. Hill,1547,female,20,7,false,2015.0,2022.0,shear,7.0
1381,John H. Wigger,1381,male,2,7,false,2001.0,2008.0,shear,7.0
2370,Rachel Walker,2370,female,35,14,false,2015.0,2022.0,shear,7.0
1926,Mark Boonshoft,1926,male,34,11,false,2015.0,2022.0,shear,7.0
2369,Rachel Tamar Van,2369,female,11,9,false,2013.0,2020.0,shear,7.0
793,Elise Leal,793,female,0,11,false,2015.0,2022.0,shear,7.0
2083,Michael D. Thompson,2083,male,59,8,false,2014.0,2021.0,shear,7.0
1270,Jennifer Manion,1270,female,11,6,false,2010.0,2017.0,shear,7.0
851,Enrico Dal Lago,851,male,16,7,false,2010.0,2017.0,shear,7.0
1530,Julia Mansfield,1530,female,0,8,false,2014.0,2021.0,shear,7.0
1438,John Wood Sweet,1438,male,24,8,false,2004.0,2011.0,shear,7.0
1294,Jessica Marie Johnson,1294,female,24,8,false,2015.0,2022.0,shear,7.0
19,Adam J. Criblez,19,male,6,5,false,2009.0,2016.0,shear,7.0
459,Christine A. Croxall,459,female,31,9,false,2015.0,2022.0,shear,7.0
